id	degree_id	name	surname	date_of_birth	fiscal_code	enrolment_date	registration_number	email	degree_name	department_name
3157	6	Marianita	Barbieri	1984-05-05	SOYVVD23A59F901A	2020-10-09	623189	shaira.silvestri@email.it	Corso di Laurea Magistrale in Biologia marina	Dipartimento di Biologia
606	32	Miriam	Barbieri	1980-05-07	YUAAGY73D42A337U	2019-09-08	620638	caruso.naomi@email.it	Corso di Laurea in Dietistica	Dipartimento di Medicina
4119	30	Morgana	Barbieri	1980-06-27	CTOZKL80O41E936G	2018-08-29	624151	monia56@dangelo.it	Corso di Laurea Magistrale in Matematica	Dipartimento di Matematica
1986	13	Nicoletta	Barbieri	1994-04-22	KHEDMU25Z96D616G	2020-04-15	622018	rmilani@yahoo.it	Corso di Laurea Magistrale in Astronomia	Dipartimento di Fisica e astronomia
796	14	Olimpia	Barbieri	1972-04-10	RRADEM63I44U371M	2019-03-24	620828	matilde.ferri@rossetti.net	Corso di Laurea Magistrale in Fisica	Dipartimento di Fisica e astronomia
1389	31	Oreste	Barbieri	1971-12-14	VUULRD18T47H025A	2019-11-13	621421	diana72@gmail.com	Corso di Laurea Magistrale in Informatica	Dipartimento di Matematica
2378	55	Penelope	Barbieri	2000-05-04	TXUXWW21G71K760H	2020-10-28	622410	brigitta09@libero.it	Corso di Laurea Magistrale in Economics and Finance	Dipartimento di Scienze economiche e aziendali
1260	50	Prisca	Barbieri	1984-09-20	JOAXJV27K41D042B	2019-01-23	621292	erizzi@bruno.org	Corso di Laurea Magistrale in Chimica Industriale	Dipartimento di Scienze chimiche
1004	22	Radio	Barbieri	2001-02-21	ZJKPRL53W29C009F	2019-06-30	621036	sartori.ninfa@email.it	Corso di Laurea in Ingegneria Elettronica	Dipartimento di Ingegneria dell'informazione
2516	38	Renzo	Barbieri	2001-05-02	GLYEQL54H09Y448F	2020-05-08	622548	graziano09@libero.it	Corso di Laurea in Educazione Professionale	Dipartimento di Neuroscienze
3696	44	Rosita	Barbieri	1973-01-20	DTSVBI18W22L956U	2019-05-28	623728	rneri@vitale.it	Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria	Dipartimento di Neuroscienze
4709	27	Rosita	Barbieri	1999-05-31	JJDBBD96Q31E188O	2019-03-17	624741	maruska.rossi@libero.it	Corso di Laurea Magistrale in Cybersecurity	Dipartimento di Ingegneria dell'informazione
4460	53	Rosolino	Barbieri	2000-11-05	UHMMJU58O76D178N	2020-03-16	624492	maruska.longo@rizzo.com	Corso di Laurea in Economia	Dipartimento di Scienze economiche e aziendali
4586	43	Secondo	Barbieri	1976-05-15	PUXSJF54N85E933E	2018-07-25	624618	fricci@gmail.com	Corso di Laurea in Tecniche di Neurofisiopatologia	Dipartimento di Neuroscienze
3891	64	Sesto	Barbieri	1995-12-13	KSVSQC68Q74E629D	2021-02-14	623923	monti.cassiopea@mancini.it	Corso di Laurea Magistrale in Relazioni Internazionali e Diplomazia	Dipartimento di Scienze politiche, giuridiche e studi internazionali
3731	20	Tancredi	Barbieri	2002-01-21	SXTUYM27J36J657Z	2020-12-18	623763	vania.riva@libero.it	Corso di Laurea in Ingegneria Informatica	Dipartimento di Ingegneria dell'informazione
3307	50	Timothy	Barbieri	1978-01-03	DAJWMG48M05Z498W	2020-06-23	623339	sibilla24@gmail.com	Corso di Laurea Magistrale in Chimica Industriale	Dipartimento di Scienze chimiche
4964	12	Umberto	Barbieri	1972-02-24	JLJCBK76Y87S995K	2021-02-08	624996	olombardi@gmail.com	Corso di Laurea in Fisica	Dipartimento di Fisica e astronomia
2742	9	Zaccaria	Barbieri	1982-02-02	QTHAKK39O13M571B	2019-05-18	622774	guendalina36@riva.it	Corso di Laurea Magistrale in Biotecnologie industriali	Dipartimento di Biologia
2537	63	Zelida	Barbieri	1993-06-05	PPFTBG02C13W570R	2019-01-23	622569	naomi.longo@greco.it	Corso di Laurea Magistrale in Innovazione e Servizio Sociale	Dipartimento di Scienze politiche, giuridiche e studi internazionali
2715	6	Amos	Barone	1990-05-14	VFRUII42C24D790X	2019-06-21	622747	ybianco@deangelis.net	Corso di Laurea Magistrale in Biologia marina	Dipartimento di Biologia
4313	7	Anastasio	Barone	1990-09-09	OEUCCX11B10Y282Y	2019-12-17	624345	sibilla.marino@yahoo.com	Corso di Laurea Magistrale in Biologia molecolare	Dipartimento di Biologia
3392	14	Antimo	Barone	2002-03-23	ESGSYM34Z85F409O	2020-05-25	623424	gallo.giacinta@deluca.net	Corso di Laurea Magistrale in Fisica	Dipartimento di Fisica e astronomia
2673	56	Arcibaldo	Barone	1998-01-27	HHABJB87S38W204J	2019-01-28	622705	quirino.riva@fiore.com	Corso di Laurea Magistrale in Entrepreneurship and Innovation	Dipartimento di Scienze economiche e aziendali
4153	56	Ausonio	Barone	1979-12-21	JLIRAQ49J47G556X	2019-09-10	624185	monia97@yahoo.it	Corso di Laurea Magistrale in Entrepreneurship and Innovation	Dipartimento di Scienze economiche e aziendali
3946	18	Bacchisio	Barone	1992-08-18	HYPIFY35R37G494P	2018-10-29	623978	fabio.damico@marchetti.org	Corso di Laurea Magistrale in Ingegneria Civile	Dipartimento di Ingegneria civile, edile e ambientale
3851	30	Carmelo	Barone	1981-12-01	YYEVTY80E72W193N	2021-01-13	623883	mguerra@lombardi.org	Corso di Laurea Magistrale in Matematica	Dipartimento di Matematica
3958	8	Celeste	Barone	1980-09-21	LNRCYD64H99W668P	2019-05-03	623990	xruggiero@pellegrini.it	Corso di Laurea Magistrale in Biologia sanitaria	Dipartimento di Biologia
4257	13	Cesidia	Barone	1999-04-14	JVOHNW16R96K307B	2019-06-08	624289	sasha72@hotmail.com	Corso di Laurea Magistrale in Astronomia	Dipartimento di Fisica e astronomia
2242	20	Damiana	Barone	1997-06-20	UIMNJC55S93F908I	2020-12-10	622274	tbernardi@santoro.it	Corso di Laurea in Ingegneria Informatica	Dipartimento di Ingegneria dell'informazione
533	75	Demis	Barone	1993-10-21	XWEVWO22W21B153A	2020-10-08	620565	battista.ferrari@ricci.net	Corso di Laurea Magistrale in Strategie di Comunicazione	Dipartimento di Studi linguistici e letterari
2711	27	Egidio	Barone	1999-10-14	XBOZAA79Q80R097M	2020-03-08	622743	marvin.longo@email.it	Corso di Laurea Magistrale in Cybersecurity	Dipartimento di Ingegneria dell'informazione
255	41	Elio	Barone	1981-03-18	QNFSSE05O84V545K	2018-11-03	620287	cosetta08@gmail.com	Corso di Laurea in Logopedia	Dipartimento di Neuroscienze
3484	1	Eliziario	Barone	1983-11-29	SUEWIU78D75Y803R	2020-11-17	623516	violante18@deluca.net	Corso di Laurea in Biologia	Dipartimento di Biologia
4551	67	Emanuel	Barone	1991-10-14	IYOAYF73S98S721A	2020-05-24	624583	ncattaneo@yahoo.com	Corso di Laurea in Statistica per le Tecnologie e le Scienze	Dipartimento di Scienze statistiche
2645	24	Fatima	Barone	1977-02-07	ZEQBBD94B43R548F	2021-01-16	622677	nestore.pagano@santoro.it	Corso di Laurea Magistrale in Ingegneria dell'Automazione	Dipartimento di Ingegneria dell'informazione
408	20	Fatima	Barone	1973-10-17	WZMKVB01D26B843R	2019-03-19	620440	pagano.cleros@giuliani.com	Corso di Laurea in Ingegneria Informatica	Dipartimento di Ingegneria dell'informazione
4984	34	Felicia	Barone	1981-11-17	OIDEXQ32O47B952M	2020-05-09	625016	martinelli.loredana@yahoo.it	Corso di Laurea in Tecniche di Laboratorio Biomedico	Dipartimento di Medicina
4136	65	Fulvio	Barone	1979-11-03	GHZRPP53R17K726M	2019-06-10	624168	pietro06@dangelo.org	Corso di Laurea Magistrale in Scienze del Governo e Politiche Pubbliche	Dipartimento di Scienze politiche, giuridiche e studi internazionali
3871	40	Gaetano	Barone	1990-01-31	ZRRAGH96T10Z527L	2019-12-09	623903	tbianco@yahoo.it	Corso di Laurea in Igiene Dentale	Dipartimento di Neuroscienze
1018	43	Giancarlo	Barone	1978-11-15	ONPCJN32G76O595E	2020-11-12	621050	tommaso38@email.it	Corso di Laurea in Tecniche di Neurofisiopatologia	Dipartimento di Neuroscienze
4825	19	Giulietta	Barone	2001-02-03	UHXUWC03O66H592D	2021-03-30	624857	miriam.ricci@benedetti.it	Corso di Laurea in Ingegneria dell'Informazione	Dipartimento di Ingegneria dell'informazione
1020	66	Ippolito	Barone	1981-01-15	FANEAA41M57T899C	2019-06-20	621052	marcella.damico@rizzi.com	Corso di Laurea in Statistica per l'Economia e l'Impresa	Dipartimento di Scienze statistiche
4745	12	Irene	Barone	1986-02-08	QEOIVY72S30H825P	2020-11-20	624777	pagano.miriana@yahoo.com	Corso di Laurea in Fisica	Dipartimento di Fisica e astronomia
3661	39	Lia	Barone	1998-06-23	GYQLRX85H28O016K	2018-12-14	623693	sgentile@moretti.com	Corso di Laurea in Fisioterapia	Dipartimento di Neuroscienze
2191	55	Lidia	Barone	1989-01-05	RVYNVP33O12N948L	2018-07-01	622223	wcoppola@villa.com	Corso di Laurea Magistrale in Economics and Finance	Dipartimento di Scienze economiche e aziendali
770	8	Luce	Barone	1978-10-11	UGXGDB33L42K692P	2019-12-12	620802	lparisi@milani.it	Corso di Laurea Magistrale in Biologia sanitaria	Dipartimento di Biologia
4954	55	Maggiore	Barone	1987-06-15	ONVWDR22K73B544V	2020-04-18	624986	maristella17@leone.com	Corso di Laurea Magistrale in Economics and Finance	Dipartimento di Scienze economiche e aziendali
3447	52	Marcella	Barone	1982-05-12	RKPOJJ69T53K614X	2021-05-26	623479	demian.martini@libero.it	Corso di Laurea Magistrale in Scienze e Tecnologie per l'Ambiente	Dipartimento di Scienze chimiche
3479	49	Maruska	Barone	1990-09-07	HQTHGC20J16T421F	2019-01-29	623511	igrasso@grassi.com	Corso di Laurea Magistrale in Chimica	Dipartimento di Scienze chimiche
2513	69	Nicoletta	Barone	1977-08-10	GVWMMB16O39R318L	2018-06-17	622545	grasso.gastone@gmail.com	Corso di Laurea in Lettere	Dipartimento di Studi linguistici e letterari
4622	58	Nicoletta	Barone	1972-03-24	UIGDVA19X78M179C	2019-07-15	624654	ramato@yahoo.it	Corso di Laurea in Diritto dell'Economia	Dipartimento di Scienze politiche, giuridiche e studi internazionali
4736	10	Noah	Barone	1982-11-18	MOOUVC13G16N591A	2019-11-01	624768	nestore92@libero.it	Corso di Laurea Magistrale in Scienze della natura	Dipartimento di Biologia
1995	1	Odone	Barone	1972-01-28	YDWKYT72G60O857Q	2021-05-31	622027	moretti.lisa@yahoo.com	Corso di Laurea in Biologia	Dipartimento di Biologia
809	10	Orfeo	Barone	1974-04-14	AIPYAV01P53L251F	2021-01-15	620841	farina.ciro@libero.it	Corso di Laurea Magistrale in Scienze della natura	Dipartimento di Biologia
1178	13	Rosalba	Barone	1971-08-22	SVHPXJ27X22L361A	2019-09-28	621210	hlongo@libero.it	Corso di Laurea Magistrale in Astronomia	Dipartimento di Fisica e astronomia
4133	28	Samira	Barone	1982-05-28	XGOWKZ13T98N531V	2018-07-09	624165	hrizzi@email.it	Corso di Laurea in Matematica	Dipartimento di Matematica
2503	23	Santo	Barone	1998-04-08	KEMTUH98G09U503X	2021-04-16	622535	riva.soriana@martino.net	Corso di Laurea Magistrale in Bioingegneria	Dipartimento di Ingegneria dell'informazione
4484	63	Tazio	Barone	1972-02-07	YUOMWC33I06L111G	2021-04-28	624516	loredana89@montanari.it	Corso di Laurea Magistrale in Innovazione e Servizio Sociale	Dipartimento di Scienze politiche, giuridiche e studi internazionali
2063	13	Terzo	Barone	1985-03-05	CUZFVT51C04Q623S	2019-04-27	622095	prisca.messina@hotmail.com	Corso di Laurea Magistrale in Astronomia	Dipartimento di Fisica e astronomia
2196	41	Vitalba	Barone	1991-07-07	THRIJF50M88P817B	2018-08-25	622228	lromano@battaglia.org	Corso di Laurea in Logopedia	Dipartimento di Neuroscienze
1369	63	Zelida	Barone	2000-07-24	RUCXDT18R75R590O	2021-04-19	621401	marcella.coppola@yahoo.com	Corso di Laurea Magistrale in Innovazione e Servizio Sociale	Dipartimento di Scienze politiche, giuridiche e studi internazionali
3738	43	Zelida	Barone	2001-10-10	JYCKVU94R11O426O	2019-04-08	623770	giordano.violante@yahoo.it	Corso di Laurea in Tecniche di Neurofisiopatologia	Dipartimento di Neuroscienze
1207	58	Arturo	Basile	1983-12-26	DQKUSU82F39L045G	2018-12-05	621239	ingrid.giuliani@yahoo.com	Corso di Laurea in Diritto dell'Economia	Dipartimento di Scienze politiche, giuridiche e studi internazionali
2790	49	Bettino	Basile	1991-08-04	ISUWGY11H93E018P	2021-04-04	622822	obellini@libero.it	Corso di Laurea Magistrale in Chimica	Dipartimento di Scienze chimiche
1931	75	Caligola	Basile	1983-08-04	HYTHOI07Z17U600L	2019-07-21	621963	negri.fabio@ferri.it	Corso di Laurea Magistrale in Strategie di Comunicazione	Dipartimento di Studi linguistici e letterari
305	30	Cleopatra	Basile	1993-10-18	RVNZUN87D18V472B	2020-06-12	620337	maika.mariani@yahoo.it	Corso di Laurea Magistrale in Matematica	Dipartimento di Matematica
2770	62	Concetta	Basile	1978-08-14	RHVXAZ12S49X988M	2019-11-06	622802	rebecca.bianco@libero.it	Corso di Laurea Magistrale in Human Rights and Multi-Level Governance	Dipartimento di Scienze politiche, giuridiche e studi internazionali
76	14	Diamante	Basile	1979-02-15	UHIQRL74J62R809M	2019-02-14	620108	bibiana58@libero.it	Corso di Laurea Magistrale in Fisica	Dipartimento di Fisica e astronomia
1082	7	Edilio	Basile	1975-03-16	SBYUES02F64R442U	2019-09-23	621114	imessina@pellegrino.it	Corso di Laurea Magistrale in Biologia molecolare	Dipartimento di Biologia
3603	56	Ermes	Basile	1995-12-26	HWTWEC77O49V420I	2021-04-01	623635	gerlando69@hotmail.com	Corso di Laurea Magistrale in Entrepreneurship and Innovation	Dipartimento di Scienze economiche e aziendali
2395	72	Ethan	Basile	1977-05-11	UWFEUT51B40O922U	2020-11-17	622427	vconte@yahoo.it	Corso di Laurea Magistrale in Lingue e Letterature Europee e Americane	Dipartimento di Studi linguistici e letterari
771	74	Evita	Basile	2000-09-28	PSSMNW22U09E242K	2019-07-13	620803	gdamico@libero.it	Corso di Laurea Magistrale in Linguistica	Dipartimento di Studi linguistici e letterari
4618	44	Genziana	Basile	1981-07-18	LQDMHL29M24E726G	2020-06-15	624650	baldassarre41@gmail.com	Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria	Dipartimento di Neuroscienze
3436	25	Giancarlo	Basile	1989-05-05	EFXYCD75Y40Q540Y	2019-06-13	623468	walter.martino@hotmail.com	Corso di Laurea Magistrale in Ingegneria Elettronica	Dipartimento di Ingegneria dell'informazione
1801	42	Isira	Basile	1980-06-15	JVSRJS02Y83T362N	2020-01-14	621833	selvaggia.testa@gmail.com	Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	Dipartimento di Neuroscienze
1858	48	Karim	Basile	1989-08-02	BHYMYY33O98G898M	2020-11-27	621890	romano.jacopo@yahoo.it	Corso di Laurea in Scienze e Tecnologie per l'Ambiente	Dipartimento di Scienze chimiche
3434	16	Kayla	Basile	1982-11-28	RGMCHC54Z68N217F	2019-08-28	623466	sartori.fatima@email.it	Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	Dipartimento di Ingegneria civile, edile e ambientale
3280	18	Lamberto	Basile	1971-08-26	KJDGPJ56X05L388L	2021-01-07	623312	jole.rinaldi@yahoo.com	Corso di Laurea Magistrale in Ingegneria Civile	Dipartimento di Ingegneria civile, edile e ambientale
3382	6	Lia	Basile	1992-10-21	TTISEM62W10N665U	2020-05-26	623414	ferdinando.bellini@farina.com	Corso di Laurea Magistrale in Biologia marina	Dipartimento di Biologia
850	31	Lisa	Basile	1975-07-05	UWUKIB44Y84G310Y	2018-10-13	620882	moretti.cleopatra@libero.it	Corso di Laurea Magistrale in Informatica	Dipartimento di Matematica
