corsi_di_laurea	corsi	id	name	surname	phone	email	office_address	office_number
Corso di Laurea in Tecniche di Neurofisiopatologia	illum est ea	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria	qui corrupti itaque	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Chimica Industriale	aut reprehenderit deleniti	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Chimica Industriale	ea enim voluptatibus	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Statistica per le Tecnologie e le Scienze	dolores dolor voluptas	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Lettere	ullam numquam perspiciatis	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Lettere	sit officiis harum	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Biotecnologie	earum aperiam nihil	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Biotecnologie	sed sint non	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Fisica	earum iure maxime	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Ingegneria Biomedica	veniam molestiae molestias	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Bioingegneria	necessitatibus sed vel	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Ingegneria dell'Automazione	ipsum dolor suscipit	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Ingegneria Informatica	vel deleniti tempore	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Informatica	nulla hic corrupti	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Educazione Professionale	quia voluptatibus et	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Fisioterapia	delectus doloribus sint	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Tecniche di Neurofisiopatologia	et nesciunt fugit	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria	est consequatur quos	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Chimica Industriale	ut accusantium dignissimos	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Chimica Industriale	consequatur architecto eum	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Scienza dei Materiali	deleniti et consectetur	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Scienza dei Materiali	eum eveniet modi	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Innovazione e Servizio Sociale	quidem sunt beatae	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Lettere	autem quo sed	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	eveniet qui cumque	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea Magistrale in Filologia Moderna	incidunt aperiam qui	4	Prisca	Caputo	+33 37 87454077	lazzaro12@hotmail.com	Via Mariano 48	2
Corso di Laurea in Biotecnologie	corrupti est nobis	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Astronomia	est delectus ut	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Astronomia	voluptatem in excepturi	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Fisica	eligendi temporibus sit	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea Magistrale in Astronomia	minima fuga corrupti	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea Magistrale in Informatica	molestiae aut quasi	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Educazione Professionale	necessitatibus voluptas ut	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Igiene Dentale	reprehenderit temporibus optio	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Chimica	repellendus eligendi error	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Scienza dei Materiali	qui quis quam	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea Magistrale in Scienze e Tecnologie per l'Ambiente	ipsa sint omnis	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea Magistrale in Filologia Moderna	aut dolorum distinctio	5	Arduino	Vitali	NULL	nicoletta.marino@derosa.it	Borgo Martino 82 Appartamento 07	97
Corso di Laurea in Biologia molecolare	voluptatum incidunt ut	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea Magistrale in Biologia evoluzionistica	ipsam atque animi	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea Magistrale in Biologia marina	cupiditate voluptas consectetur	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Ingegneria Civile	iste veniam et	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Ingegneria Edile - Architettura	distinctio quo praesentium	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Ingegneria dell'Informazione	hic omnis dolore	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Ingegneria dell'Informazione	et sed sunt	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea Magistrale in Ingegneria dell'Automazione	omnis amet omnis	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Tecniche di Radiologia Medica	odio vel officiis	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea Magistrale in Scienze e Tecniche dell'Attività Motoria Preventiva e Adattata	dolor eos at	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Igiene Dentale	est aspernatur et	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Logopedia	quis non est	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Economia	blanditiis numquam quos	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea Magistrale in Relazioni Internazionali e Diplomazia	mollitia atque quisquam	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	aut qui consequatur	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea Magistrale in Linguistica	repudiandae amet similique	6	Bernardo	Guerra	NULL	nathan41@gallo.it	Rotonda Martinelli 309	199
Corso di Laurea in Biologia	repellat itaque nam	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea Magistrale in Astronomia	fugit dolorem voluptas	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Ingegneria Edile - Architettura	id et ut	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea Magistrale in Ingegneria Civile	inventore reiciendis deserunt	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Informatica	molestiae est qui	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Infermieristica	sunt aut inventore	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea Magistrale in Scienze delle Professioni Sanitarie	eaque vero sapiente	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Fisioterapia	amet qui quibusdam	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Fisioterapia	eum delectus quo	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Igiene Dentale	quo ut earum	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	minus eum et	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	sint voluptas dicta	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Tecniche di Neurofisiopatologia	aut maxime non	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea Magistrale in Scienze del Governo e Politiche Pubbliche	aut facilis quam	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea Magistrale in Scienze Statistiche	at exercitationem libero	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea Magistrale in Scienze Statistiche	reprehenderit eos dolores	7	Noemi	Ferraro	348 610 711	amarini@gmail.com	Contrada Amato 58 Piano 2	185
Corso di Laurea in Biologia	quod in aut	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	nam id aliquid	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea in Ingegneria Elettronica	pariatur laboriosam quae	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea Magistrale in Cybersecurity	eum soluta est	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea in Chimica Industriale	rerum sed animi	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea Magistrale in Scienze e Tecnologie per l'Ambiente	ullam voluptatem facere	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea Magistrale in Economia e Diritto	cupiditate ullam earum	8	Ione	Costantini	+59 87 0628195	bgentile@greco.com	Strada Vitali 8 Piano 0	64
Corso di Laurea in Biologia molecolare	accusantium culpa sint	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea in Scienze naturali	est exercitationem sit	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea Magistrale in Biologia marina	quis quasi eos	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea Magistrale in Informatica	quidem perferendis exercitationem	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea in Tecniche di Laboratorio Biomedico	modi sed earum	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea in Economia	nobis delectus veritatis	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea in Economia	quo magni rem	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea Magistrale in Entrepreneurship and Innovation	voluptatem dolore maxime	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea in Statistica per l'Economia e l'Impresa	tempore voluptates eaque	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea Magistrale in Scienze Statistiche	alias explicabo amet	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	reiciendis occaecati iure	9	Demis	Marino	NULL	fulvio.grasso@hotmail.com	Borgo Elga 89	124
Corso di Laurea Magistrale in Scienze della natura	quae quam non	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Fisica	velit non sapiente	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Ingegneria Elettronica	aspernatur aut ut	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Matematica	reprehenderit dolores necessitatibus	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Tecniche di Radiologia Medica	facere adipisci sed	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Fisioterapia	asperiores eveniet maxime	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Igiene Dentale	qui qui molestiae	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea Magistrale in Economia e Diritto	quasi fugit est	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Statistica per l'Economia e l'Impresa	nobis voluptas illum	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Lettere	illum quae cum	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	recusandae inventore nostrum	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea Magistrale in Filologia Moderna	molestiae aut sit	10	Maria	Esposito	+30 91 02098027	caruso.davide@yahoo.it	Strada Vitali 8 Piano 0	128
Corso di Laurea in Scienze naturali	tempore molestiae et	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Fisica	similique qui sapiente	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Ingegneria Biomedica	repellat saepe recusandae	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea Magistrale in Bioingegneria	voluptas voluptatem sint	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Fisioterapia	et nobis corporis	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Fisioterapia	hic inventore a	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Tecniche di Neurofisiopatologia	natus dolores mollitia	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Scienza dei Materiali	labore tempora odit	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea Magistrale in Business Administration	quis aut voluptas	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea Magistrale in Entrepreneurship and Innovation	amet quod repudiandae	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Scienze Politiche	et quae provident	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Scienze Politiche	tempora rerum quos	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea Magistrale in European and Global Studies	et enim occaecati	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Statistica per l'Economia e l'Impresa	natus vel ea	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Statistica per le Tecnologie e le Scienze	animi iure ut	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Lettere	et qui cum	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	accusantium tempora vel	11	Vinicio	Sanna	+61 8773 1539263	nico61@yahoo.com	Piazza Ferretti 619	124
Corso di Laurea in Biotecnologie	enim qui ea	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea in Fisica	sunt ut dolorem	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	aspernatur et suscipit	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea Magistrale in Ingegneria Informatica	eligendi quia voluptatem	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea Magistrale in Informatica	nesciunt et ullam	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea Magistrale in Scienze e Tecniche dell'Attività Motoria Preventiva e Adattata	vel aliquam ut	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea Magistrale in Human Rights and Multi-Level Governance	ea quas quas	12	Arduino	Romano	NULL	abramo.gentile@benedetti.org	Strada Kociss 997 Piano 8	190
Corso di Laurea in Biotecnologie	eligendi sed exercitationem	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Ingegneria Edile - Architettura	ad qui qui	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Ingegneria Civile	aut ullam pariatur	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Ingegneria Biomedica	ex vero sunt	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Ingegneria Informatica	saepe harum quidem	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Matematica	quam et ut	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Matematica	quod veritatis incidunt	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Tecniche di Laboratorio Biomedico	reiciendis in consectetur	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Scienze e Tecniche dell'Attività Motoria Preventiva e Adattata	quam voluptatem nihil	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Logopedia	dolorem culpa pariatur	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria	animi nihil aliquam	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Relazioni Internazionali e Diritti Umani	consequatur et eum	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Statistica per le Tecnologie e le Scienze	consequatur aperiam illo	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Scienze Statistiche	debitis impedit aut	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	sequi reiciendis explicabo	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Lingue e Letterature Europee e Americane	deserunt et eum	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Linguistica	debitis est saepe	13	Tosca	Donati	+97 9502 52491933	marco26@yahoo.it	Rotonda Martinelli 309	119
Corso di Laurea Magistrale in Biologia evoluzionistica	id id qui	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea Magistrale in Biologia marina	laborum expedita ullam	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea Magistrale in Biologia molecolare	optio corporis explicabo	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Astronomia	omnis aut ab	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Astronomia	similique similique et	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Ingegneria Civile	voluptatem qui laboriosam	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Ingegneria Informatica	quod blanditiis dolor	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Ingegneria Elettronica	voluptates tenetur quisquam	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea Magistrale in Cybersecurity	error ut officiis	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Matematica	aut odit ab	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Tecniche di Radiologia Medica	harum ducimus molestias	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Fisioterapia	ratione quis minus	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Igiene Dentale	voluptatem voluptatem totam	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Scienze e Tecnologie per l'Ambiente	ducimus amet qui	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea Magistrale in Scienza dei Materiali	rerum enim sunt	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Economia	perferendis quos accusamus	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea Magistrale in Business Administration	est omnis possimus	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea Magistrale in European and Global Studies	perspiciatis fuga praesentium	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
